group,label,n,size_gb,chunk_gb,policy,seeds,source_gbps,down_gbps,peer_up_gbps,sink_gbps,memory_gbps,fabric_gbps,rack_gbps,rack_size,ordering,hop_delay_s,slots,root_mode,random_seed,slow_factor,source_memory_gbps,time_s,p50_s,p95_s,min_s,lower_bound_s,source_gb,peer_gb,cross_rack_gb,peak_source_gbps,peak_total_gbps,events,chunks,final_client_cache_gb,wall_seconds
chunks,chunk_0.015625,100,140.0,0.015625,p2p,1,10.0,10.0,10.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,10,local,2e-05,1,fixed,0,1.0,1000000000.0,14.156687500068443,14.078353750068462,14.148854125068445,14.000020000068483,14.0,139.99999999990965,13860.000020267931,1399.999999850848,10.0,1000.0,905058,8960,14000.0,143.629454917
chunks,chunk_0.0625,100,140.0,0.0625,p2p,1,10.0,10.0,10.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,10,local,2e-05,1,fixed,0,1.0,1000000000.0,14.620750000020667,14.310385000020723,14.589713500020673,14.000020000020777,14.0,140.00000000014063,13860.00000612239,1399.9999999409135,10.0,1000.0,226338,2240,14000.0,36.087410166
chunks,chunk_0.25,100,140.0,0.25,p2p,1,10.0,10.0,10.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,10,local,2e-05,1,fixed,0,1.0,1000000000.0,16.47700000000415,15.238510000004204,16.35315100000416,14.000020000004223,14.0,140.00000000004303,13860.00000147864,1399.999999985743,10.0,1000.0,56658,560,14000.0,8.730953749999998
chunks,chunk_1,100,140.0,1.0,p2p,1,10.0,10.0,10.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,10,local,2e-05,1,fixed,0,1.0,1000000000.0,23.902000000000257,18.951010000000224,23.406901000000254,14.000020000000225,14.0,140.00000000001813,13860.000000318307,1399.999999997108,10.0,1000.0,14238,140,14000.0,1.8492896249999973
chunks,chunk_140,100,140.0,140.0,p2p,1,10.0,10.0,10.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,10,local,2e-05,1,fixed,0,1.0,1000000000.0,1400.001999999997,707.0010099999995,1330.7019009999972,14.00002,14.0,140.0,13860.0,1400.0,10.0,10.0,100,1,14000.0,0.0036671250000068767
chunks,chunk_4,100,140.0,4.0,p2p,1,10.0,10.0,10.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,10,local,2e-05,1,fixed,0,1.0,1000000000.0,53.60199999999981,33.80100999999992,51.62190099999982,14.000020000000019,14.0,140.00000000000145,13860.000000030317,1399.99999999974,10.0,350.0,3633,35,14000.0,0.252571875000001
counterexample,source2000_p2p,100,140.0,0.25,p2p,1,2000.0,10.0,10.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,10,local,2e-05,1,fixed,0,1.0,1000000000.0,16.47700000000415,15.238510000004204,16.35315100000416,14.000020000004223,14.0,140.00000000004303,13860.00000147864,1399.999999985743,10.0,1000.0,56658,560,14000.0,9.0672635
counterexample,source2000_single,100,140.0,0.25,single,1,2000.0,10.0,10.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,10,local,2e-05,100,fixed,0,1.0,1000000000.0,14.00002000000013,14.00002000000013,14.00002000000013,14.00002000000013,14.0,13999.999999999996,0.0,13999.999999999996,1000.0,1000.0,1119,560,14000.0,0.29130091600000085
counterexample,source200_peer1_p2p,100,140.0,0.25,p2p,1,200.0,10.0,1.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,10,local,2e-05,1,fixed,0,1.0,1000000000.0,164.52700000024225,152.15101000023324,163.28940100024215,14.00002000000016,46.666666666666664,140.00000000000335,13859.999999547064,1399.9999999841539,10.0,99.0,57162,560,14000.0,9.094335667
delay,delay_0,100,140.0,0.25,p2p,1,10.0,10.0,10.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,10,local,0.0,1,fixed,0,1.0,1000000000.0,16.475000000000133,15.23750000000015,16.35125000000014,14.000000000000131,14.0,140.0,13860.0,1400.0,10.0,1000.0,659,560,14000.0,0.18916037499998595
